province,GDP,Population,GDP per Capita
Antwerp,98189000000,1857986,52847.01
Brussels,90459000000,1208542,74849.69
East Flanders,62123000000,1515064,41003.55
Flemish Brabant,51731000000,1146175,45133.6
Hainaut,36940000000,1344241,27480.19
Liege,34715000000,1106992,31359.76
Limburg,31766000000,874048,36343.54
Luxembourg,7887000000,284638,27708.88
Missing,45635000000,1039218.73,43912.8
Namur,14697000000,494325,29731.45
Walloon Brabant,21155000000,403599,52415.89
West Flanders,52323000000,1195796,43755.79
